time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml)
131.00,0.48,13.65,0.46,6.22,0.40
132.00,0.62,18.66,0.88,16.45,0.60
133.00,1.85,NaN,NaN,NaN,NaN
134.00,0.36,50.77,0.11,5.42,1.20
135.00,0.15,17.26,0.02,0.40,0.40
136.00,0.33,6.42,0.91,5.82,0.80
137.00,0.85,12.44,1.06,13.24,0.60
138.00,0.34,22.48,0.14,3.21,0.80
139.00,0.40,11.84,0.17,2.01,1.20
140.00,0.40,21.87,0.38,8.23,2.81
141.00,0.33,20.27,0.66,13.44,0.60
142.00,0.32,19.87,0.22,4.41,1.00
143.00,0.39,17.06,0.53,9.03,2.21
144.00,0.46,9.03,0.58,5.22,2.21
145.00,0.46,8.23,0.59,4.82,1.20
146.00,0.46,17.46,0.55,9.63,1.40
147.00,0.49,19.87,0.42,8.43,1.00
148.00,0.47,15.85,0.42,6.62,2.61
149.00,1.23,20.07,0.58,11.64,0.80
150.00,0.46,32.31,0.23,7.42,1.61
151.00,0.83,24.28,0.61,14.85,2.81
152.00,0.22,18.46,0.05,1.00,1.00
153.00,0.20,12.64,0.79,10.03,0.80
154.00,0.21,4.21,0.76,3.21,1.00
155.00,0.75,2.81,1.43,4.01,0.40
156.00,0.64,6.42,1.31,8.43,0.60
157.00,1.32,9.23,0.39,3.61,0.20
158.00,0.54,31.71,0.29,9.23,4.21
159.00,NaN,NaN,NaN,NaN,NaN
160.00,0.38,11.24,0.48,5.42,3.61
161.00,0.80,10.64,0.53,5.62,0.60
162.00,1.01,8.83,1.41,12.44,0.60
163.00,0.47,23.88,0.39,9.23,0.00
164.00,0.36,14.45,0.36,5.22,0.00
165.00,0.32,9.83,0.18,1.81,0.60
166.00,0.41,8.83,0.80,7.02,0.80
167.00,0.74,14.25,0.72,10.23,0.60
168.00,0.64,23.88,0.51,12.24,1.40
169.00,0.56,28.09,0.48,13.44,1.20
170.00,0.46,1.40,0.43,0.60,1.20
171.00,0.71,5.42,0.26,1.40,0.80
172.00,0.53,15.25,0.21,3.21,1.81
173.00,0.30,10.03,0.04,0.40,1.20
174.00,0.26,11.84,0.08,1.00,0.60
175.00,0.62,7.22,0.33,2.41,1.20
176.00,0.77,12.44,0.60,7.42,0.80
177.00,0.74,4.01,0.35,1.40,0.60
178.00,0.29,19.06,0.16,3.01,0.80
179.00,0.39,9.23,0.52,4.82,1.40
180.00,0.41,11.44,0.16,1.81,1.40
181.00,1.04,11.04,0.16,1.81,1.40
182.00,0.44,9.23,0.11,1.00,2.41
183.00,0.21,14.45,0.07,1.00,1.00
184.00,0.11,5.82,0.17,1.00,0.60
185.00,0.42,5.62,0.64,3.61,1.00
186.00,0.45,6.02,0.40,2.41,0.20
187.00,0.37,12.44,0.29,3.61,0.00
188.00,0.53,8.03,0.35,2.81,0.80
189.00,0.44,5.02,0.28,1.40,0.20
