time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,1.23,7.42,0.03,0.20,0.00,80.00
1.03,0.63,NaN,NaN,NaN,NaN,80.00
2.18,0.12,15.65,0.23,3.61,0.00,80.00
3.21,0.58,16.86,0.02,0.40,0.00,80.00
4.03,0.28,7.83,0.67,5.22,0.80,80.00
5.06,0.17,12.84,0.09,1.20,0.40,80.00
6.03,0.22,15.65,0.05,0.80,0.00,80.00
6.98,0.41,14.25,0.20,2.81,0.00,80.00
8.00,0.15,22.07,0.06,1.40,0.80,80.00
9.09,0.19,26.89,0.02,0.60,0.80,80.00
10.15,0.54,16.05,0.45,7.22,1.00,80.00
10.99,0.30,30.90,0.31,9.63,0.80,80.00
12.01,0.22,20.27,0.10,2.01,0.00,80.00
13.06,0.34,20.07,0.49,9.83,3.01,80.00
14.02,0.26,25.69,0.02,0.60,1.00,80.00
15.00,0.77,21.67,0.83,18.06,1.40,80.00
16.09,0.34,31.91,0.19,6.22,3.61,80.00
17.06,0.23,20.87,0.04,0.80,2.61,80.00
17.99,0.84,12.24,0.69,8.43,2.81,80.00
19.02,0.91,22.88,0.91,20.87,4.21,80.00
20.01,0.26,38.73,0.04,1.61,1.81,80.00
21.02,0.36,11.24,0.27,3.01,4.21,80.00
22.09,0.35,28.90,0.50,14.45,0.80,80.00
23.27,0.41,43.95,0.28,12.24,0.40,80.00
24.13,0.24,29.50,0.20,6.02,1.81,80.00
25.00,0.21,21.27,0.19,4.01,1.20,80.00
26.03,0.25,29.90,0.29,8.63,2.21,80.00
27.13,0.31,30.10,0.24,7.22,5.02,80.00
28.09,0.32,28.70,0.27,7.63,2.21,80.00
29.02,0.28,19.87,0.19,3.81,1.00,80.00
30.25,0.11,37.73,0.17,6.42,2.61,80.00
30.99,0.28,25.89,0.08,2.01,3.01,80.00
32.04,0.27,12.04,1.23,14.85,3.61,80.00
33.01,0.25,25.69,0.17,4.41,1.40,80.00
34.01,0.11,19.26,0.11,2.21,1.20,80.00
35.07,0.44,5.42,0.41,2.21,1.61,80.00
36.02,0.14,10.23,0.22,2.21,0.40,80.00
37.06,0.30,16.25,0.30,4.82,2.61,80.00
38.17,0.38,15.25,0.33,5.02,1.81,80.00
39.01,0.29,16.86,0.05,0.80,2.01,80.00
40.02,0.47,23.88,0.29,6.82,1.40,80.00
41.03,0.46,20.07,0.27,5.42,2.21,80.00
42.07,0.46,18.26,0.20,3.61,2.01,80.00
43.02,0.52,9.43,0.30,2.81,2.01,80.00
44.13,0.51,19.47,0.40,7.83,2.21,80.00
45.13,0.40,19.87,0.24,4.82,1.20,80.00
46.22,0.43,11.64,0.45,5.22,1.00,80.00
47.00,0.61,26.89,0.36,9.63,1.61,80.00
48.01,0.36,40.74,0.32,12.84,0.40,80.00
48.98,0.18,34.72,0.09,3.21,0.00,80.00
50.01,0.18,18.26,0.15,2.81,0.20,80.00
51.26,0.20,9.83,0.20,2.01,NaN,80.00
52.13,0.28,7.22,0.11,0.80,0.40,80.00
52.99,0.82,5.02,0.44,2.21,2.21,80.00
54.03,0.38,10.23,0.59,6.02,0.40,80.00
55.00,0.39,15.25,0.49,7.42,0.00,80.00
56.17,0.27,30.70,0.14,4.21,0.40,80.00
57.11,0.31,28.70,0.08,2.21,0.00,80.00
58.18,0.40,16.25,0.14,2.21,0.80,80.00
59.11,0.24,8.83,0.05,0.40,1.61,80.00
60.05,0.23,2.61,0.46,1.20,0.40,80.00
60.99,0.53,10.23,0.59,6.02,1.20,80.00
62.05,1.13,18.26,0.87,15.85,4.41,80.00
63.03,0.67,42.94,0.21,8.83,1.40,80.00
64.02,0.36,36.72,0.18,6.62,2.61,80.00
65.09,0.23,26.89,0.14,3.81,1.81,80.00
66.15,0.16,13.44,0.06,0.80,2.21,80.00
67.02,0.25,4.41,0.55,2.41,1.00,80.00
67.98,0.93,6.62,0.70,4.62,9.03,80.00
68.95,0.94,11.24,0.57,6.42,4.21,80.00
69.99,0.71,28.50,0.23,6.62,0.40,80.00
71.00,0.41,24.48,0.20,5.02,1.40,80.00
72.09,0.46,27.89,0.29,8.03,7.02,80.00
72.96,0.32,19.67,0.07,1.40,4.01,80.00
73.95,0.30,9.63,0.19,1.81,3.81,80.00
74.99,0.59,NaN,NaN,NaN,NaN,80.00
75.99,0.83,15.25,0.88,13.44,5.02,80.00
77.00,0.60,22.27,0.26,5.82,2.01,80.00
78.04,0.46,20.67,0.24,5.02,NaN,80.00
78.96,0.25,10.64,0.21,2.21,NaN,80.00
80.07,0.52,13.24,0.62,8.23,NaN,80.00
80.99,0.40,13.24,0.15,2.01,NaN,80.00
82.01,0.72,18.26,0.29,5.22,0.60,80.00
83.00,0.68,27.09,0.21,5.82,1.00,80.00
84.03,0.30,21.47,0.03,0.60,1.40,80.00
85.02,0.29,9.23,0.07,0.60,1.00,80.00
85.99,0.44,10.43,0.46,4.82,1.20,80.00
87.08,0.29,12.64,0.14,1.81,0.60,80.00
88.01,0.30,11.84,0.29,3.41,3.21,80.00
89.03,1.23,9.63,0.27,2.61,0.40,80.00
90.04,0.69,21.27,0.42,8.83,0.40,80.00
91.00,0.53,27.49,0.16,4.41,0.40,80.00
92.07,0.44,26.49,0.21,5.62,1.40,80.00
93.10,0.50,23.08,0.23,5.22,0.60,80.00
94.13,2.12,15.85,0.25,4.01,1.81,80.00
95.13,0.79,29.10,0.14,4.01,2.01,80.00
96.01,0.24,26.89,0.09,2.41,0.60,80.00
97.07,0.51,5.22,0.54,2.81,3.61,80.00
98.05,0.58,17.26,0.47,8.03,2.61,80.00
99.04,0.50,26.89,0.34,9.23,1.20,80.00
100.09,0.63,30.90,0.18,5.62,1.20,80.00
101.15,0.27,20.47,0.03,0.60,1.61,80.00
102.02,0.27,8.83,0.07,0.60,0.60,80.00
103.06,0.95,9.03,0.20,1.81,1.20,80.00
104.02,0.96,17.66,0.39,6.82,1.00,80.00
105.02,0.50,48.16,0.16,7.83,1.00,80.00
105.99,0.28,35.32,0.10,3.41,0.40,80.00
107.09,0.39,14.65,0.16,2.41,0.80,80.00
108.24,0.36,19.67,0.18,3.61,0.40,80.00
109.01,0.42,5.42,0.19,1.00,0.40,80.00
109.99,0.44,1.61,0.50,0.80,0.40,80.00
110.98,0.74,20.27,0.51,10.43,2.81,80.00
112.02,0.51,25.28,0.27,6.82,0.80,80.00
113.00,0.22,33.71,0.06,2.01,0.60,80.00
114.27,0.33,14.45,0.19,2.81,1.20,80.00
115.07,0.36,25.49,0.15,3.81,1.40,80.00
116.01,0.33,11.24,0.21,2.41,0.80,80.00
117.01,0.43,15.65,0.21,3.21,1.61,80.00
118.02,0.32,6.02,0.07,0.40,0.80,80.00
119.00,0.31,18.06,0.23,4.21,2.81,80.00
120.02,0.21,10.64,0.09,1.00,NaN,80.00
121.13,0.47,15.25,0.28,4.21,0.60,80.00
122.17,0.32,9.63,0.19,1.81,0.60,80.00
123.02,0.30,6.62,0.21,1.40,0.80,80.00
123.99,0.47,7.63,0.47,3.61,1.00,80.00
125.01,0.74,8.03,0.33,2.61,1.00,80.00
126.01,0.36,34.72,0.16,5.42,0.40,80.00
127.01,0.27,7.83,0.15,1.20,1.20,80.00
128.09,0.44,14.25,0.34,4.82,1.20,80.00
129.31,0.36,22.27,0.11,2.41,1.61,80.00
130.00,0.27,15.45,0.12,1.81,0.40,80.00
131.00,0.28,5.62,0.25,1.40,0.80,80.00
131.99,0.18,7.63,0.13,1.00,0.60,80.00
133.05,0.48,8.03,0.35,2.81,1.20,80.00
133.99,0.61,18.06,0.34,6.22,0.80,80.00
135.01,0.64,25.49,0.28,7.22,0.80,80.00
136.15,0.36,18.86,0.05,1.00,0.60,80.00
137.02,0.51,15.25,0.37,5.62,0.80,80.00
138.02,0.63,14.25,0.17,2.41,1.20,80.00
138.98,0.58,24.28,0.26,6.22,0.40,80.00
140.06,0.36,24.88,0.14,3.41,1.00,80.00
140.95,0.23,11.64,0.22,2.61,1.20,80.00
142.09,0.51,9.43,0.38,3.61,0.40,80.00
143.17,0.31,10.43,0.04,0.40,0.40,80.00
