time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
144.01,0.61,6.02,0.20,1.20,0.00,80.00
145.02,0.30,6.22,0.29,1.81,0.00,80.00
146.05,0.50,7.22,0.33,2.41,0.00,80.00
147.04,1.48,11.44,0.09,1.00,0.40,80.00
147.97,0.45,13.65,0.09,1.20,0.00,80.00
149.09,0.39,14.85,0.18,2.61,0.00,80.00
150.02,0.27,17.26,0.13,2.21,0.00,80.00
151.00,0.51,12.84,0.20,2.61,0.00,80.00
152.01,0.43,25.08,0.16,4.01,0.40,80.00
153.00,0.26,16.66,0.07,1.20,0.60,80.00
153.98,0.17,17.86,0.09,1.61,0.40,80.00
155.04,0.24,5.02,0.28,1.40,6.42,80.00
156.13,0.29,4.41,0.32,1.40,0.00,80.00
157.19,0.32,8.43,0.19,1.61,0.40,80.00
158.01,0.26,4.41,0.18,0.80,0.20,80.00
159.06,0.31,4.21,0.19,0.80,0.00,80.00
159.99,0.33,0.40,1.00,0.40,1.00,80.00
161.02,0.42,11.84,0.37,4.41,0.40,80.00
162.00,0.39,26.09,0.16,4.21,0.00,80.00
163.34,0.26,28.70,0.13,3.81,0.00,80.00
164.43,0.17,4.41,0.09,0.40,0.00,80.00
164.99,0.34,9.23,0.17,1.61,1.00,80.00
166.03,0.45,11.44,0.28,3.21,0.60,80.00
167.06,0.43,11.44,0.44,5.02,0.00,80.00
168.00,0.37,18.26,0.24,4.41,0.80,80.00
169.00,0.40,18.46,0.18,3.41,0.40,80.00
170.14,0.31,23.08,0.15,3.41,0.20,80.00
171.12,0.10,13.24,0.14,1.81,0.00,80.00
172.00,0.25,5.62,0.14,0.80,1.61,80.00
172.97,0.30,6.42,0.44,2.81,0.60,80.00
174.00,0.27,3.41,0.35,1.20,0.20,80.00
175.05,0.35,1.40,0.14,0.20,0.00,80.00
176.04,0.39,10.23,0.33,3.41,0.40,80.00
177.24,0.24,14.45,0.08,1.20,0.00,80.00
178.06,0.17,13.04,0.08,1.00,0.00,80.00
178.98,0.33,10.03,0.06,0.60,0.40,80.00
180.05,0.32,8.63,0.21,1.81,0.00,80.00
181.04,0.20,9.63,0.25,2.41,0.00,80.00
