time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml)
0.00,1.50,NaN,NaN,NaN,NaN
0.95,0.83,5.42,0.00,0.00,0.40
2.26,0.70,18.26,0.38,7.02,0.00
2.91,0.38,17.86,0.19,3.41,0.40
3.95,0.41,21.07,0.32,6.82,0.40
4.95,0.39,17.46,0.20,3.41,0.20
5.93,0.91,15.85,0.91,14.45,1.00
6.96,0.30,36.12,0.07,2.61,4.01
8.22,0.77,18.86,0.45,8.43,3.41
9.08,0.42,31.30,0.14,4.41,1.20
9.94,0.24,16.66,0.11,1.81,1.40
10.98,NaN,NaN,NaN,NaN,NaN
11.95,0.51,7.83,0.23,1.81,0.40
13.00,0.62,23.08,0.50,11.44,1.20
13.98,0.32,23.88,0.15,3.61,1.61
14.99,0.67,18.66,0.40,7.42,1.20
16.02,0.25,26.49,0.12,3.21,3.01
16.94,0.38,8.23,0.59,4.82,2.01
17.98,1.64,19.47,0.60,11.64,1.20
18.93,0.69,23.48,0.50,11.64,1.00
20.00,0.27,27.89,0.12,3.21,1.81
20.95,1.23,19.06,0.88,16.86,1.61
22.02,0.99,23.48,0.29,6.82,0.40
23.16,0.18,29.70,0.41,12.24,0.80
23.94,0.26,38.53,0.32,12.24,0.80
24.95,0.94,11.64,0.81,9.43,4.21
25.97,0.62,23.48,0.30,7.02,0.80
26.95,1.21,20.87,0.57,11.84,1.40
27.92,0.25,33.91,0.10,3.41,2.21
29.05,0.36,14.65,0.18,2.61,1.00
30.05,0.46,17.66,0.17,3.01,2.41
30.93,0.62,11.84,0.41,4.82,1.61
31.90,0.76,12.84,0.33,4.21,1.81
32.97,0.56,22.27,0.25,5.62,0.80
34.00,0.60,23.28,0.38,8.83,1.61
34.95,1.21,28.90,0.61,17.66,2.61
36.30,0.15,55.18,0.08,4.62,1.40
37.30,0.13,24.88,0.01,0.20,4.62
37.92,0.21,7.02,0.26,1.81,4.82
38.95,0.97,8.83,0.23,2.01,2.41
40.00,1.35,11.04,1.31,14.45,3.41
40.93,0.71,26.49,0.42,11.04,1.00
41.95,0.43,33.31,0.15,5.02,2.21
43.19,0.35,21.47,0.20,4.21,4.41
44.19,0.47,12.64,0.35,4.41,2.21
44.94,0.77,12.24,0.44,5.42,2.41
45.93,0.86,9.03,0.47,4.21,1.61
47.07,1.02,52.37,0.39,20.47,1.40
48.00,0.29,40.94,0.14,5.62,1.61
48.93,0.65,33.71,0.45,15.05,6.82
49.99,0.30,16.25,0.17,2.81,2.21
51.01,0.22,12.84,0.13,1.61,2.21
51.95,0.35,9.63,0.46,4.41,1.20
52.97,1.51,12.64,0.62,7.83,2.61
53.98,1.01,34.52,0.59,20.47,3.61
54.94,0.28,41.94,0.10,4.21,1.20
55.99,0.28,25.08,0.05,1.20,1.20
57.01,0.75,23.08,0.67,15.45,1.20
58.02,0.49,25.89,0.35,9.03,1.40
58.98,0.36,33.91,0.25,8.43,2.41
59.93,0.64,52.17,0.61,31.91,3.01
60.90,0.16,52.37,0.13,7.02,3.41
61.98,0.09,27.89,0.02,0.60,5.42
62.97,0.56,5.42,0.81,4.41,4.21
64.09,0.57,39.93,0.20,8.03,1.20
65.35,0.61,39.53,0.21,8.43,1.00
65.97,0.37,36.92,0.26,9.63,0.60
66.92,0.44,21.07,0.50,10.43,1.20
67.99,0.20,17.26,0.05,0.80,0.40
68.95,0.42,17.46,0.37,6.42,0.40
69.97,0.94,22.88,0.70,16.05,2.01
71.15,0.33,41.74,0.18,7.63,3.01
72.29,0.28,19.47,0.20,3.81,1.40
72.95,0.51,18.46,0.49,9.03,2.21
73.98,0.81,38.73,0.39,15.25,1.40
74.98,0.19,39.73,0.13,5.02,1.61
75.96,0.10,21.47,0.09,2.01,0.80
76.94,0.32,13.24,0.56,7.42,5.22
77.99,0.76,15.65,0.63,9.83,3.81
79.04,0.58,26.09,0.58,15.05,3.41
79.94,0.57,35.12,0.39,13.65,3.61
81.05,0.40,47.76,0.41,19.67,4.21
81.99,0.35,47.56,0.35,16.66,3.41
82.95,0.29,43.14,0.22,9.63,5.82
84.13,0.33,31.10,0.30,9.23,7.02
85.32,0.31,30.30,0.35,10.64,5.02
85.98,0.30,28.70,0.32,9.23,3.41
87.24,0.30,23.08,0.32,7.42,2.41
87.93,0.32,23.08,0.43,10.03,1.81
88.95,0.38,20.67,0.25,5.22,1.20
89.97,0.85,25.49,0.53,13.44,1.81
90.97,0.25,41.54,0.05,2.01,1.20
92.08,0.33,38.13,0.07,2.81,1.61
93.02,0.35,12.84,0.30,3.81,3.01
94.03,0.37,17.26,0.24,4.21,1.40
94.96,1.00,20.07,0.81,16.25,1.81
95.96,0.34,38.93,0.20,7.83,1.20
96.99,0.22,21.47,0.20,4.21,1.20
97.98,0.31,21.07,0.22,4.62,4.41
99.06,0.28,16.86,0.15,2.61,2.41
100.04,0.23,7.83,0.13,1.00,0.80
100.93,0.33,6.02,0.40,2.41,1.20
101.95,0.80,5.82,0.83,4.82,1.40
102.99,0.78,23.28,0.50,11.64,0.60
103.94,0.62,16.86,0.48,8.03,0.80
104.93,0.28,34.72,0.18,6.22,1.40
106.05,0.21,23.68,0.13,3.01,1.00
107.14,0.23,15.25,0.13,2.01,1.40
107.92,0.30,11.84,0.37,4.41,1.20
108.98,0.51,14.25,0.37,5.22,1.40
110.00,0.54,20.67,0.53,11.04,0.80
110.97,0.44,30.50,0.34,10.23,0.20
111.92,0.53,30.30,0.44,13.44,3.01
113.02,0.24,25.89,0.16,4.01,4.62
113.96,0.17,24.08,0.05,1.20,3.01
114.92,0.25,10.03,0.28,2.81,1.20
115.93,0.59,7.63,0.29,2.21,0.60
116.96,0.82,26.49,0.63,16.66,4.21
117.97,0.30,41.94,0.13,5.62,1.40
118.98,0.25,35.92,0.15,5.22,3.21
119.99,0.40,26.89,0.41,11.04,3.01
121.19,0.24,23.28,0.16,3.61,2.01
121.99,0.36,19.26,0.59,11.44,2.01
122.94,1.51,25.69,1.00,25.69,3.81
124.02,0.54,77.06,0.19,14.65,5.22
125.05,0.19,57.19,0.09,5.42,6.42
126.02,0.19,31.91,0.05,1.61,12.84
127.04,0.40,15.25,0.88,13.44,11.84
128.22,0.27,24.08,0.24,5.82,6.22
129.02,0.41,23.48,0.59,13.85,5.82
129.98,0.88,34.52,1.05,36.32,6.62
130.98,0.27,42.54,0.18,7.63,6.62
131.97,0.43,30.50,0.59,18.06,4.62
132.95,0.46,42.74,0.51,21.67,3.21
134.03,0.50,51.77,0.33,16.86,8.43
135.35,0.23,31.30,0.06,1.81,8.23
136.18,0.42,15.05,0.72,10.84,9.43
136.99,0.66,28.29,0.72,20.27,7.83
137.98,0.21,36.32,0.46,16.66,1.20
139.00,0.17,36.72,0.23,8.43,2.41
139.93,0.18,48.16,0.30,14.25,1.81
141.31,0.14,73.65,0.29,21.47,3.21
142.32,0.36,28.29,0.26,7.42,0.80
142.96,0.35,27.09,0.20,5.42,3.21
143.95,0.71,45.35,0.54,24.68,1.61
144.99,0.81,42.94,0.21,8.83,2.01
146.01,0.99,19.67,0.06,1.20,2.01
147.05,0.75,12.44,0.40,5.02,3.41
148.25,0.55,18.26,0.29,5.22,1.81
149.31,0.36,31.10,0.24,7.42,0.80
149.93,0.40,28.09,0.36,10.23,0.40
150.94,0.55,15.45,0.70,10.84,0.40
151.95,0.24,40.54,0.12,5.02,2.81
152.96,0.51,47.16,0.30,14.05,1.81
154.20,NaN,NaN,NaN,NaN,NaN
155.18,0.21,20.07,0.03,0.60,2.81
156.38,0.39,13.04,0.40,5.22,3.61
156.95,0.50,18.26,0.44,8.03,1.20
157.91,0.15,34.52,0.88,30.30,0.40
159.00,0.33,49.36,0.09,4.21,3.21
159.90,0.28,44.35,0.11,4.82,4.21
160.98,0.14,11.64,0.10,1.20,1.00
162.00,0.18,9.43,0.49,4.62,2.01
163.03,0.42,20.07,0.52,10.43,4.82
163.98,0.52,29.10,0.46,13.24,1.20
164.96,0.82,52.37,0.57,29.70,1.40
165.93,0.20,57.79,0.06,3.21,2.21
166.94,0.14,35.12,0.06,2.01,4.41
168.04,0.39,15.85,0.65,10.23,3.61
168.89,0.53,17.26,0.53,9.23,0.80
170.12,0.22,33.71,0.18,6.02,1.00
170.95,0.29,13.04,0.28,3.61,1.00
172.02,1.06,17.86,0.79,14.05,3.21
173.01,0.50,42.14,0.17,7.22,0.60
173.97,0.16,35.32,0.04,1.40,1.61
174.97,0.25,18.26,0.14,2.61,2.41
175.85,0.48,11.44,0.88,10.03,3.01
177.14,0.43,21.67,0.29,6.22,1.00
177.93,0.44,25.28,0.37,9.43,1.40
178.94,0.87,30.50,0.59,17.86,2.41
179.91,0.19,35.32,0.07,2.61,1.81
180.96,0.52,27.29,0.68,18.46,5.02
182.00,0.23,20.47,0.12,2.41,1.81
182.91,0.47,14.65,0.59,8.63,2.81
184.05,0.37,12.84,0.27,3.41,1.40
184.91,0.46,17.46,0.66,11.44,0.60
185.91,1.19,30.90,0.74,22.88,2.81
186.93,0.37,57.59,0.23,13.44,4.41
187.94,0.21,41.54,0.09,3.81,7.83
188.90,0.25,21.47,0.21,4.41,9.03
189.90,0.47,17.26,0.57,9.83,5.42
191.85,0.53,18.26,0.68,12.44,3.01
192.91,0.91,27.89,0.69,19.26,4.62
193.94,0.37,53.98,0.13,7.02,3.81
194.91,0.19,26.89,0.09,2.41,3.21
195.92,0.73,24.28,0.57,13.85,2.41
196.92,0.31,18.86,0.29,5.42,1.61
198.90,0.61,4.41,0.23,1.00,0.40
199.98,0.96,33.31,0.68,22.68,1.81
200.88,0.55,81.67,0.53,43.34,2.81
201.91,0.13,18.46,0.16,3.01,0.60
202.96,0.29,14.45,0.10,1.40,4.01
203.95,NaN,NaN,NaN,NaN,NaN
205.05,0.48,24.48,0.27,6.62,0.00
205.96,0.38,22.07,0.28,6.22,1.20
206.92,0.45,17.26,0.44,7.63,1.40
207.92,0.47,27.69,0.30,8.23,0.20
208.94,0.42,37.32,0.30,11.24,1.61
209.95,0.74,34.31,0.34,11.64,1.20
211.08,0.14,57.79,0.08,4.41,2.81
211.99,0.15,27.29,0.02,0.60,1.00
212.95,0.39,13.65,0.47,6.42,2.21
213.92,0.90,13.44,0.60,8.03,1.00
214.99,0.81,30.70,0.46,14.25,0.60
215.98,0.42,37.53,0.19,7.02,1.00
216.99,0.37,30.30,0.13,4.01,2.01
218.05,NaN,NaN,NaN,NaN,NaN
219.32,0.38,18.46,0.23,4.21,1.40
