time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
57.87,3.06,18.26,0.20,3.61,0.40,0.00
58.85,1.39,29.70,0.15,4.41,0.80,0.00
59.91,0.62,21.27,0.08,1.81,1.00,0.00
61.01,0.30,8.43,0.00,0.00,4.82,160.00
62.06,0.10,1.81,0.00,0.00,0.40,160.00
62.89,0.20,0.40,0.00,0.00,0.00,160.00
63.93,0.84,0.00,NaN,0.20,0.80,160.00
64.86,3.31,4.62,0.09,0.40,0.00,0.00
65.90,3.81,0.80,0.00,0.00,0.00,0.00
66.88,2.49,3.61,0.22,0.80,1.00,0.00
68.22,1.36,5.62,0.21,1.20,0.20,0.00
69.30,0.78,8.03,0.10,0.80,0.00,160.00
69.86,0.44,7.02,0.09,0.60,0.00,160.00
70.90,0.39,5.82,0.55,3.21,1.61,160.00
71.93,0.58,2.01,0.00,0.00,0.00,160.00
72.88,1.29,12.44,0.47,5.82,1.00,0.00
73.88,1.50,25.49,0.27,6.82,0.60,0.00
75.01,0.55,34.52,0.09,3.21,0.80,0.00
76.00,0.14,19.87,0.05,1.00,2.41,0.00
76.87,0.14,1.61,0.00,0.00,5.22,160.00
77.84,0.13,0.00,NaN,0.00,0.40,160.00
78.88,0.12,0.40,0.00,0.00,2.41,160.00
79.92,0.60,0.00,NaN,0.00,0.20,160.00
80.91,2.03,0.00,NaN,0.00,0.40,0.00
82.12,3.25,0.00,NaN,0.00,0.40,0.00
82.93,1.66,0.20,1.00,0.20,0.60,0.00
83.85,1.08,0.00,NaN,0.00,0.00,0.00
84.93,1.31,0.20,0.00,0.00,0.20,160.00
85.92,0.70,1.00,0.60,0.60,0.00,160.00
86.93,0.95,1.40,1.43,2.01,0.00,160.00
87.87,1.38,2.41,0.50,1.20,0.00,160.00
89.07,2.12,24.28,0.61,14.85,1.00,0.00
89.92,1.68,54.58,0.33,18.06,0.80,0.00
90.84,0.41,44.55,0.10,4.62,1.61,0.00
91.89,0.14,7.83,0.00,0.00,3.01,0.00
92.86,0.14,8.83,0.11,1.00,2.41,160.00
93.92,0.18,5.02,0.28,1.40,1.20,160.00
94.89,0.26,2.61,0.62,1.61,1.00,160.00
96.10,0.57,8.23,0.34,2.81,0.80,160.00
97.07,0.74,17.46,0.38,6.62,0.40,0.00
97.87,1.08,20.47,0.37,7.63,0.40,0.00
98.93,1.02,46.35,0.38,17.46,1.00,0.00
99.91,0.64,23.88,0.09,2.21,0.80,0.00
100.93,0.49,25.49,0.05,1.20,2.01,160.00
101.88,0.36,11.04,0.05,0.60,3.01,160.00
102.99,0.32,7.22,0.11,0.80,0.80,160.00
103.91,0.35,4.01,0.40,1.61,0.60,160.00
104.89,0.65,4.21,1.14,4.82,0.20,0.00
105.92,1.54,4.01,0.05,0.20,1.81,0.00
106.92,1.24,25.69,0.20,5.22,0.60,0.00
107.90,0.52,9.43,0.06,0.60,0.80,0.00
108.92,0.37,18.26,0.05,1.00,1.00,160.00
109.94,0.12,16.66,0.16,2.61,0.40,160.00
110.95,0.11,6.82,0.00,0.00,0.60,160.00
111.86,0.20,2.41,0.00,0.00,0.00,160.00
112.84,1.21,2.01,1.10,2.21,2.81,0.00
113.91,1.76,5.22,0.65,3.41,2.21,0.00
114.91,1.25,12.24,0.41,5.02,0.40,0.00
115.96,0.61,13.65,0.15,2.01,0.20,0.00
116.97,0.33,8.23,0.10,0.80,0.80,160.00
117.94,0.21,6.42,0.22,1.40,0.80,160.00
118.89,0.20,5.62,0.21,1.20,0.80,160.00
119.88,0.23,5.02,0.68,3.41,0.80,160.00
120.90,0.87,6.42,0.81,5.22,0.60,0.00
121.91,1.22,15.05,0.85,12.84,1.20,0.00
122.90,0.73,19.47,0.24,4.62,1.00,0.00
123.96,0.35,18.06,0.13,2.41,2.41,0.00
125.05,0.27,10.03,0.14,1.40,2.41,160.00
125.89,0.16,6.42,0.16,1.00,2.01,160.00
126.93,0.19,3.01,0.27,0.80,1.00,160.00
127.91,0.10,1.40,0.57,0.80,0.40,160.00
128.89,0.71,2.81,0.93,2.61,1.00,0.00
129.90,0.90,5.42,0.33,1.81,0.40,0.00
131.04,1.05,14.25,0.27,3.81,0.00,0.00
131.99,0.56,9.43,0.19,1.81,0.00,0.00
132.90,0.44,4.21,0.24,1.00,0.00,160.00
133.92,0.68,9.43,0.85,8.03,0.00,160.00
134.94,0.50,14.25,0.23,3.21,0.00,160.00
135.91,0.71,20.87,0.19,4.01,0.00,160.00
136.89,0.57,20.27,0.21,4.21,0.00,0.00
138.02,0.57,5.22,0.04,0.20,0.00,0.00
138.89,0.18,16.45,0.12,2.01,1.00,0.00
139.88,0.14,8.63,0.00,0.00,1.00,0.00
140.90,0.42,2.61,0.00,0.00,0.40,160.00
141.89,0.29,4.01,0.05,0.20,1.00,160.00
142.88,0.18,3.61,0.28,1.00,0.80,160.00
143.87,0.69,6.22,0.58,3.61,0.40,160.00
144.95,0.56,7.63,0.13,1.00,0.00,0.00
145.97,1.00,8.43,0.38,3.21,0.00,0.00
146.91,0.19,4.62,0.00,0.00,0.00,0.00
147.91,0.15,15.85,0.37,5.82,0.40,0.00
148.94,0.49,27.09,0.27,7.22,0.80,160.00
149.90,0.57,29.70,0.18,5.22,0.60,160.00
150.88,0.35,22.27,0.11,2.41,1.20,160.00
151.94,0.32,25.28,0.16,4.01,1.20,160.00
152.92,0.14,14.25,0.03,0.40,0.60,0.00
153.90,0.16,4.82,0.00,0.00,1.61,0.00
154.86,0.52,3.41,0.47,1.61,0.80,0.00
155.82,1.41,7.22,0.53,3.81,0.60,0.00
156.93,0.79,12.84,0.14,1.81,1.00,160.00
157.90,0.48,17.06,0.25,4.21,0.80,160.00
158.86,0.41,14.25,0.37,5.22,0.60,160.00
159.93,0.41,12.84,0.06,0.80,0.60,160.00
160.92,0.21,6.62,0.06,0.40,0.40,0.00
161.89,1.50,8.23,0.34,2.81,0.20,0.00
162.91,1.57,9.43,0.30,2.81,0.60,0.00
163.89,1.37,23.68,0.67,15.85,0.00,0.00
164.92,0.77,20.67,0.20,4.21,0.40,160.00
165.84,0.15,20.27,0.06,1.20,0.60,160.00
166.83,0.06,9.83,0.02,0.20,0.00,160.00
167.92,0.09,1.20,0.00,0.00,1.00,160.00
168.87,0.39,1.00,0.00,0.00,0.40,0.00
169.89,0.72,0.40,0.00,0.00,0.40,0.00
170.94,1.31,3.61,0.22,0.80,1.20,0.00
171.88,2.63,2.21,0.73,1.61,0.80,0.00
172.93,0.97,4.41,0.59,2.61,0.40,160.00
173.82,0.42,9.23,0.11,1.00,0.20,160.00
174.89,0.21,6.82,0.18,1.20,0.20,160.00
175.91,0.46,6.22,1.00,6.22,0.40,160.00
176.90,0.84,5.02,1.20,6.02,0.40,0.00
177.94,1.07,13.85,0.48,6.62,1.00,0.00
178.88,0.65,20.07,0.16,3.21,0.60,0.00
179.84,0.19,19.26,0.05,1.00,0.60,0.00
180.86,0.13,11.44,0.05,0.60,0.20,160.00
181.86,0.13,2.21,0.18,0.40,0.60,160.00
182.99,0.33,3.21,0.13,0.40,0.80,160.00
