time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,2.83,11.04,0.67,7.42,0.40,160.00
0.89,2.31,28.90,0.56,16.25,0.00,0.00
1.94,1.14,36.72,0.22,8.23,0.60,0.00
2.92,0.44,22.27,0.07,1.61,1.00,0.00
3.91,0.13,8.23,0.00,0.00,0.60,0.00
4.97,0.15,1.61,0.00,0.00,1.20,160.00
6.03,0.08,0.00,NaN,0.00,0.00,160.00
6.89,0.69,0.00,NaN,0.00,0.00,160.00
7.93,4.17,0.00,NaN,0.20,0.00,160.00
8.90,4.75,0.00,NaN,0.00,0.00,0.00
9.90,3.14,0.00,NaN,1.00,0.00,0.00
10.87,2.52,0.00,NaN,0.00,0.00,0.00
11.97,1.74,0.00,NaN,0.00,0.00,0.00
13.11,0.98,0.80,0.00,0.00,0.00,160.00
13.89,0.48,0.40,0.00,0.00,0.00,160.00
14.86,1.78,0.00,NaN,0.00,0.00,160.00
15.86,2.63,0.60,0.00,0.00,0.00,160.00
16.90,3.34,1.61,0.38,0.60,0.00,0.00
17.88,3.26,2.01,0.40,0.80,0.00,0.00
19.14,0.38,6.82,0.18,1.20,0.00,0.00
19.95,1.02,2.21,0.55,1.20,0.00,0.00
20.89,0.39,3.41,0.06,0.20,0.00,160.00
21.89,0.16,2.01,0.00,0.00,0.00,160.00
22.90,0.57,0.00,NaN,0.00,0.00,160.00
23.87,1.37,4.21,0.19,0.80,0.20,160.00
24.90,2.70,0.40,0.00,0.00,0.00,0.00
26.00,3.10,17.86,0.43,7.63,0.20,0.00
27.05,1.44,17.26,0.19,3.21,0.20,0.00
27.90,0.52,21.07,0.05,1.00,0.00,0.00
28.86,0.20,2.21,0.18,0.40,0.40,160.00
29.89,0.12,3.41,0.06,0.20,0.20,160.00
30.89,0.27,4.01,0.00,0.00,1.20,160.00
31.88,1.91,1.20,1.00,1.20,0.40,160.00
32.97,3.48,1.81,1.00,1.81,0.40,0.00
34.19,3.56,3.21,0.75,2.41,0.20,0.00
34.87,2.44,7.22,0.44,3.21,0.00,0.00
35.88,1.02,16.86,0.43,7.22,0.60,0.00
36.86,0.45,16.25,0.22,3.61,0.40,160.00
37.93,0.15,7.63,0.05,0.40,2.01,160.00
38.86,0.21,2.41,1.00,2.41,1.61,160.00
39.89,1.97,3.01,0.20,0.60,2.41,160.00
41.02,2.52,9.43,0.09,0.80,1.40,0.00
41.90,3.03,14.45,0.33,4.82,1.00,0.00
42.89,2.01,30.30,0.17,5.22,0.80,0.00
43.86,0.77,23.08,0.09,2.01,0.60,0.00
44.93,0.27,10.64,0.09,1.00,4.21,160.00
45.82,0.10,2.61,0.00,0.00,1.61,160.00
46.97,0.31,1.61,0.00,0.00,0.00,160.00
48.05,1.27,3.41,0.18,0.60,0.40,160.00
48.89,2.95,2.61,0.31,0.80,0.40,0.00
49.90,3.54,6.82,0.56,3.81,0.00,0.00
50.92,2.35,5.22,0.58,3.01,0.00,0.00
51.91,2.35,12.84,0.17,2.21,0.80,0.00
52.85,0.80,2.41,0.00,0.00,0.00,160.00
53.97,0.39,3.61,0.00,0.00,0.00,160.00
54.86,0.36,4.62,0.09,0.40,1.00,160.00
55.87,0.84,4.41,0.41,1.81,1.61,160.00
56.89,1.60,6.02,0.37,2.21,0.80,0.00
