time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,2.03,6.82,0.06,0.40,0.20,80.00
1.00,1.39,1.61,0.50,0.80,0.20,80.00
2.00,0.65,5.22,0.92,4.82,0.40,80.00
3.00,0.60,16.05,0.38,6.02,0.40,80.00
4.00,0.29,10.23,0.18,1.81,0.40,80.00
5.00,0.25,9.43,0.06,0.60,0.40,80.00
6.00,0.33,6.82,0.21,1.40,0.20,80.00
7.00,2.19,9.83,0.43,4.21,0.20,80.00
8.00,0.84,12.84,0.34,4.41,0.20,80.00
9.00,0.28,12.24,0.18,2.21,0.40,80.00
10.00,0.58,7.42,0.62,4.62,0.00,80.00
11.00,0.80,14.25,0.34,4.82,0.60,80.00
12.00,0.65,17.26,0.27,4.62,0.80,80.00
13.00,0.52,15.25,0.22,3.41,0.40,80.00
14.00,0.71,13.24,0.26,3.41,0.40,80.00
15.00,1.00,21.67,0.35,7.63,0.60,80.00
16.00,0.38,19.06,0.11,2.01,0.20,80.00
17.00,0.63,15.45,0.36,5.62,1.20,80.00
18.00,0.73,16.25,0.28,4.62,0.40,80.00
19.00,0.55,18.66,0.24,4.41,0.80,80.00
20.00,0.27,15.85,0.09,1.40,0.60,80.00
21.00,0.76,14.05,0.57,8.03,0.40,80.00
22.00,1.29,15.85,0.38,6.02,0.20,80.00
23.00,0.35,36.92,0.10,3.81,0.60,80.00
24.00,0.42,19.26,0.19,3.61,0.40,80.00
25.00,0.94,9.63,0.21,2.01,1.00,80.00
26.00,1.03,28.09,0.41,11.64,1.20,80.00
27.00,0.77,13.44,0.46,6.22,0.00,80.00
28.00,0.48,23.28,0.17,4.01,0.60,80.00
29.00,0.64,25.08,0.29,7.22,0.80,80.00
30.00,0.88,12.84,0.19,2.41,1.20,80.00
31.00,0.83,14.65,0.29,4.21,1.00,80.00
32.00,0.70,25.28,0.24,6.02,0.40,80.00
33.00,0.42,24.28,0.12,2.81,0.00,80.00
34.00,0.62,12.44,0.31,3.81,0.60,80.00
35.00,0.95,18.66,0.35,6.62,0.40,80.00
36.00,0.83,50.37,0.19,9.63,0.60,80.00
37.00,0.29,27.29,0.15,4.21,0.80,80.00
38.00,0.28,23.08,0.05,1.20,1.20,80.00
39.00,0.53,10.84,0.24,2.61,1.20,80.00
40.00,1.21,4.82,0.92,4.41,0.40,80.00
41.00,1.07,13.44,0.45,6.02,0.40,80.00
42.00,0.45,18.46,0.05,1.00,0.40,80.00
43.00,0.59,26.49,0.25,6.62,0.60,80.00
44.00,0.41,23.08,0.06,1.40,0.40,80.00
45.00,0.62,20.27,0.34,6.82,0.80,80.00
46.00,1.16,28.29,0.45,12.84,0.80,80.00
47.00,0.50,35.32,0.11,4.01,0.60,80.00
48.00,0.31,7.63,0.11,0.80,0.40,80.00
49.00,0.63,7.42,0.73,5.42,0.40,80.00
50.00,1.20,18.46,0.57,10.43,0.20,80.00
51.00,0.75,35.52,0.21,7.63,0.40,80.00
52.00,0.37,31.51,0.10,3.01,0.20,80.00
53.00,0.61,25.69,0.05,1.40,0.40,80.00
54.00,0.71,15.25,0.30,4.62,0.80,80.00
55.00,0.51,13.65,0.19,2.61,0.40,80.00
56.00,0.49,15.45,0.25,3.81,0.00,80.00
57.00,0.55,16.66,0.28,4.62,0.00,80.00
58.00,0.74,26.69,0.21,5.62,0.80,80.00
59.00,0.60,27.89,0.25,7.02,0.20,80.00
60.00,0.50,27.29,0.24,6.42,0.60,80.00
61.00,0.57,24.28,0.27,6.62,1.61,80.00
62.00,0.52,20.67,0.31,6.42,0.60,80.00
63.00,0.54,18.46,0.40,7.42,0.40,80.00
64.00,1.04,27.09,0.56,15.05,0.60,80.00
65.00,0.81,23.28,0.04,1.00,0.40,80.00
66.00,0.54,21.47,0.19,4.01,0.00,80.00
67.00,1.00,17.46,0.32,5.62,0.20,80.00
68.00,0.66,18.06,0.13,2.41,0.60,80.00
69.00,0.48,12.24,0.18,2.21,0.60,80.00
70.00,0.43,12.04,0.18,2.21,0.40,80.00
71.00,0.73,21.67,0.40,8.63,0.40,80.00
72.00,0.67,24.08,0.28,6.82,0.80,80.00
73.00,0.94,28.29,0.37,10.43,0.80,80.00
74.00,0.23,31.51,0.08,2.61,0.80,80.00
75.00,0.24,12.64,0.03,0.40,2.01,80.00
76.00,0.31,8.83,0.18,1.61,0.60,80.00
77.00,0.47,11.64,0.47,5.42,0.80,80.00
78.00,0.53,25.69,0.30,7.83,0.80,80.00
79.00,0.56,14.85,0.36,5.42,0.20,80.00
80.00,1.05,14.65,0.34,5.02,0.40,80.00
81.00,0.78,32.51,0.38,12.24,0.80,80.00
82.00,0.44,26.09,0.16,4.21,0.40,80.00
83.00,0.30,9.63,0.15,1.40,0.40,80.00
84.00,0.35,7.02,0.77,5.42,0.60,80.00
85.00,0.42,5.42,0.52,2.81,0.60,80.00
86.00,0.81,8.03,0.90,7.22,0.00,80.00
87.00,0.43,24.08,0.33,8.03,0.40,80.00
88.00,0.78,18.86,0.84,15.85,0.20,80.00
89.00,0.41,23.88,0.25,6.02,0.80,80.00
90.00,0.57,22.27,0.37,8.23,0.60,80.00
91.00,0.45,20.47,0.40,8.23,0.00,80.00
92.00,0.67,12.04,0.50,6.02,0.00,80.00
93.00,0.62,11.24,0.45,5.02,0.40,80.00
94.00,0.47,15.05,1.00,15.05,0.20,80.00
95.00,0.41,22.48,0.43,9.63,0.00,80.00
96.00,0.37,20.47,0.40,8.23,0.40,80.00
97.00,0.37,11.24,0.41,4.62,0.00,80.00
98.00,0.35,9.83,0.43,4.21,0.80,80.00
99.00,0.41,8.03,0.80,6.42,0.00,80.00
100.00,0.50,14.05,0.81,11.44,0.80,80.00
101.00,0.69,17.66,1.07,18.86,0.60,80.00
102.00,0.68,25.69,0.41,10.43,0.60,80.00
103.00,0.54,30.90,0.33,10.23,0.80,80.00
104.00,0.35,16.86,0.17,2.81,0.40,80.00
105.00,0.33,10.84,0.22,2.41,0.60,80.00
106.00,0.55,11.04,0.55,6.02,0.40,80.00
107.00,0.57,12.24,0.90,11.04,0.20,80.00
108.00,2.10,13.65,0.91,12.44,0.40,80.00
109.00,0.48,18.86,0.52,9.83,0.60,80.00
110.00,0.28,21.07,0.28,5.82,0.40,80.00
111.00,0.39,11.64,0.84,9.83,0.20,80.00
112.00,0.37,14.65,0.71,10.43,0.80,80.00
113.00,0.44,14.25,0.66,9.43,0.40,80.00
114.00,0.34,17.86,0.29,5.22,0.60,80.00
115.00,0.59,11.64,0.24,2.81,0.80,80.00
116.00,0.45,16.05,0.45,7.22,1.00,80.00
117.00,0.56,15.25,0.64,9.83,0.60,80.00
118.00,0.48,5.62,0.54,3.01,0.80,80.00
119.00,0.38,6.02,0.37,2.21,0.40,80.00
120.00,0.53,5.62,1.14,6.42,0.40,80.00
121.00,0.38,7.63,0.37,2.81,0.40,80.00
122.00,0.47,10.84,0.33,3.61,0.40,80.00
123.00,0.44,6.02,0.70,4.21,0.40,80.00
124.00,0.41,7.63,0.45,3.41,0.40,80.00
125.00,0.40,3.01,0.40,1.20,0.00,80.00
126.00,0.45,5.22,0.69,3.61,0.00,80.00
127.00,0.48,9.43,0.47,4.41,0.40,80.00
128.00,0.36,4.62,0.52,2.41,0.40,80.00
129.00,0.40,4.41,0.59,2.61,0.00,80.00
130.00,0.29,4.01,0.60,2.41,0.40,80.00
131.00,0.29,3.21,1.00,3.21,0.60,80.00
132.00,0.31,2.41,1.08,2.61,0.40,80.00
133.00,0.47,2.41,0.67,1.61,0.00,80.00
134.00,0.50,9.03,0.87,7.83,0.00,80.00
135.00,0.43,8.43,0.69,5.82,0.20,80.00
136.00,0.51,6.42,0.84,5.42,0.40,80.00
137.00,0.34,10.84,0.74,8.03,0.00,80.00
138.00,0.32,12.04,0.40,4.82,0.00,80.00
139.00,0.39,10.84,0.56,6.02,0.00,80.00
140.00,0.34,6.42,0.88,5.62,0.00,80.00
141.00,0.41,8.23,1.20,9.83,0.20,80.00
142.00,0.34,14.45,0.82,11.84,0.20,80.00
143.00,0.42,8.63,0.77,6.62,0.00,80.00
144.00,0.34,9.63,0.54,5.22,0.20,80.00
145.00,0.36,14.05,0.37,5.22,0.80,80.00
146.00,0.28,10.64,0.23,2.41,0.40,80.00
147.00,0.38,10.23,0.57,5.82,0.00,80.00
148.00,0.31,22.27,0.77,17.06,0.60,80.00
149.00,0.33,14.45,0.60,8.63,0.20,80.00
150.00,0.28,13.85,0.45,6.22,0.00,80.00
151.00,0.33,11.64,0.62,7.22,0.00,80.00
152.00,0.35,8.03,0.65,5.22,0.40,80.00
153.00,0.44,7.42,0.59,4.41,0.40,80.00
154.00,0.53,14.65,0.70,10.23,0.60,80.00
155.00,0.47,21.47,0.57,12.24,0.00,80.00
156.00,0.45,14.65,0.60,8.83,0.00,80.00
157.00,0.46,24.68,0.46,11.24,0.40,80.00
158.00,0.33,13.44,0.39,5.22,0.20,80.00
159.00,0.34,11.04,0.60,6.62,0.00,80.00
160.00,0.23,7.42,0.35,2.61,0.00,80.00
161.00,0.29,10.23,0.49,5.02,0.20,80.00
162.00,0.29,11.24,0.71,8.03,0.40,80.00
163.00,0.40,5.22,0.69,3.61,0.40,80.00
164.00,1.66,9.43,0.57,5.42,0.80,80.00
165.00,0.44,8.03,0.75,6.02,0.40,80.00
166.00,0.28,16.45,0.48,7.83,0.60,80.00
167.00,NaN,NaN,NaN,NaN,NaN,80.00
168.00,0.31,10.43,0.33,3.41,0.80,80.00
169.00,0.37,9.03,1.07,9.63,0.40,80.00
170.00,0.40,7.83,1.03,8.03,0.20,80.00
171.00,0.28,12.44,0.58,7.22,0.60,80.00
172.00,0.18,14.45,0.36,5.22,0.00,80.00
173.00,0.15,9.83,0.18,1.81,0.60,80.00
174.00,0.34,2.41,0.58,1.40,0.00,80.00
175.00,0.31,3.61,0.33,1.20,0.00,80.00
176.00,0.28,5.82,1.03,6.02,0.00,80.00
177.00,0.23,9.03,0.60,5.42,0.20,80.00
178.00,0.19,0.80,1.00,0.80,0.00,80.00
179.00,0.28,1.20,0.67,0.80,0.00,80.00
180.00,0.24,4.82,0.33,1.61,0.40,80.00
181.00,0.24,5.42,0.48,2.61,0.00,80.00
182.00,0.27,11.64,0.47,5.42,0.00,80.00
183.00,0.48,9.63,0.60,5.82,0.20,80.00
184.00,0.23,6.02,0.23,1.40,0.60,80.00
185.00,0.22,3.41,0.41,1.40,0.00,80.00
186.00,0.89,9.63,0.42,4.01,0.80,80.00
187.00,0.18,4.41,0.14,0.60,0.00,80.00
188.00,0.20,5.22,0.31,1.61,0.00,80.00
189.00,0.24,3.81,0.42,1.61,0.00,80.00
190.00,0.22,4.01,0.90,3.61,0.20,80.00
191.00,0.27,9.63,0.35,3.41,0.00,80.00
192.00,0.26,5.22,0.92,4.82,0.20,80.00
193.00,0.27,7.83,0.59,4.62,0.40,80.00
194.00,0.16,5.82,0.72,4.21,1.40,80.00
195.00,0.29,8.83,0.48,4.21,0.00,80.00
196.00,0.24,4.82,0.54,2.61,0.40,80.00
197.00,0.20,2.41,0.58,1.40,0.80,80.00
