time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,0.73,9.83,0.27,2.61,0.40,80.00
1.00,1.02,8.83,0.36,3.21,0.20,80.00
2.00,1.24,13.24,0.53,7.02,0.00,80.00
3.00,1.18,19.87,0.24,4.82,0.60,80.00
4.00,NaN,NaN,NaN,NaN,NaN,80.00
5.00,0.29,17.86,0.19,3.41,0.80,80.00
6.00,0.79,12.24,0.95,11.64,1.00,80.00
7.40,0.94,12.64,0.43,5.42,3.41,80.00
8.45,0.50,16.25,0.20,3.21,2.41,80.00
9.36,0.83,12.44,0.23,2.81,0.60,80.00
10.49,0.66,10.03,0.20,2.01,2.01,80.00
11.46,0.69,7.42,0.30,2.21,2.81,80.00
12.38,0.53,7.42,0.22,1.61,1.81,80.00
13.42,0.55,7.22,0.31,2.21,1.00,80.00
14.39,0.24,12.04,0.63,7.63,0.40,80.00
15.38,0.65,14.85,0.26,3.81,0.40,80.00
16.39,0.54,13.24,0.21,2.81,0.20,80.00
17.46,0.37,12.44,0.24,3.01,0.20,80.00
18.47,0.33,12.44,0.21,2.61,0.60,80.00
19.38,0.32,11.64,0.41,4.82,1.00,80.00
20.38,0.61,14.25,0.73,10.43,1.40,80.00
21.39,0.45,23.28,0.28,6.62,0.60,80.00
22.40,0.47,27.89,0.32,8.83,0.20,80.00
23.39,0.35,32.91,0.18,6.02,1.61,80.00
24.52,0.12,24.88,0.07,1.81,0.80,80.00
25.48,0.16,10.64,0.00,0.00,1.00,80.00
26.38,0.29,2.61,0.46,1.20,1.00,80.00
27.41,0.51,4.21,0.19,0.80,0.60,80.00
28.40,0.55,4.01,1.15,4.62,0.80,80.00
29.40,0.57,11.44,0.68,7.83,1.00,80.00
30.39,0.57,15.05,0.48,7.22,0.40,80.00
31.46,0.38,20.27,0.25,5.02,0.60,80.00
32.46,0.22,16.45,0.17,2.81,0.20,80.00
33.42,0.22,9.03,0.29,2.61,0.80,80.00
34.42,0.28,9.63,0.23,2.21,1.00,80.00
35.40,0.31,9.83,0.37,3.61,0.00,80.00
36.40,0.54,15.45,0.58,9.03,0.00,80.00
37.38,0.34,14.85,0.19,2.81,0.40,80.00
38.40,NaN,NaN,NaN,NaN,NaN,80.00
39.40,NaN,NaN,NaN,NaN,NaN,80.00
40.40,0.31,15.05,0.19,2.81,2.21,80.00
41.40,0.78,13.44,0.82,11.04,2.01,80.00
42.40,0.71,27.09,0.47,12.84,0.40,80.00
43.40,0.34,24.08,0.15,3.61,1.40,80.00
44.40,0.25,18.46,0.20,3.61,2.61,80.00
45.40,NaN,NaN,NaN,NaN,NaN,80.00
46.40,0.33,6.42,0.06,0.40,2.21,80.00
47.40,0.28,1.40,0.57,0.80,1.20,80.00
48.40,0.22,2.61,0.23,0.60,3.01,80.00
49.40,0.59,5.62,0.79,4.41,0.40,80.00
50.42,0.68,10.64,0.40,4.21,1.00,80.00
51.41,0.50,25.28,0.33,8.43,0.80,80.00
52.40,NaN,NaN,NaN,NaN,NaN,80.00
53.40,NaN,NaN,NaN,NaN,NaN,80.00
54.41,0.19,4.82,0.00,0.00,1.81,80.00
55.40,0.42,1.81,0.00,0.00,0.40,80.00
56.40,0.29,0.60,0.00,0.00,0.20,80.00
57.38,0.29,2.21,0.36,0.80,0.00,80.00
58.40,0.44,4.41,0.73,3.21,0.00,80.00
59.40,NaN,NaN,NaN,NaN,NaN,80.00
60.40,NaN,NaN,NaN,NaN,NaN,80.00
61.38,0.26,12.04,0.28,3.41,1.20,80.00
62.38,0.33,12.24,0.18,2.21,0.80,80.00
63.40,NaN,NaN,NaN,NaN,NaN,80.00
64.38,0.32,22.68,0.20,4.62,0.60,80.00
65.38,0.83,33.51,0.57,19.06,1.40,80.00
66.40,NaN,NaN,NaN,NaN,NaN,80.00
67.40,NaN,NaN,NaN,NaN,NaN,80.00
68.40,0.21,2.81,0.07,0.20,1.00,80.00
69.40,0.73,2.41,0.58,1.40,5.82,80.00
70.38,0.67,0.60,1.67,1.00,1.61,80.00
71.40,NaN,NaN,NaN,NaN,NaN,80.00
72.38,0.61,5.42,0.41,2.21,0.00,80.00
73.54,0.67,3.61,0.50,1.81,0.60,80.00
74.48,0.43,22.07,0.54,11.84,0.20,80.00
75.38,0.86,25.28,0.60,15.05,0.60,80.00
76.41,0.81,34.11,0.37,12.64,0.40,80.00
77.40,0.75,37.73,0.39,14.65,0.20,80.00
78.40,0.62,55.59,0.28,15.65,0.40,80.00
79.40,0.25,40.74,0.13,5.42,3.61,80.00
80.41,0.30,11.64,0.16,1.81,6.02,80.00
81.34,0.18,10.03,0.18,1.81,4.41,80.00
82.40,0.15,8.23,0.02,0.20,2.81,80.00
83.39,0.22,2.81,0.43,1.20,1.00,80.00
84.51,0.34,6.42,0.72,4.62,0.80,80.00
85.43,1.60,9.03,0.31,2.81,0.60,80.00
