time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,1.92,16.25,0.53,8.63,0.40,160.00
1.02,1.58,43.75,0.48,21.07,0.60,160.00
2.05,0.62,42.94,0.10,4.41,1.81,160.00
2.91,0.55,36.12,0.17,6.02,1.61,160.00
4.08,1.12,42.54,0.42,17.66,1.00,160.00
4.96,1.48,69.63,0.38,26.69,0.40,0.00
6.02,1.61,69.03,0.44,30.30,1.61,0.00
7.00,0.72,67.43,0.17,11.44,0.60,0.00
7.93,0.40,41.74,0.12,5.02,0.40,0.00
8.99,0.33,21.27,0.13,2.81,2.01,160.00
10.07,0.15,9.23,0.24,2.21,0.40,160.00
11.11,0.23,3.21,0.13,0.40,0.40,160.00
11.99,0.75,1.20,1.50,1.81,0.40,160.00
12.98,1.86,1.00,2.20,2.21,0.00,0.00
14.00,2.78,4.82,0.33,1.61,0.00,0.00
15.06,2.67,8.43,0.57,4.82,0.00,0.00
16.03,1.77,7.83,0.26,2.01,0.00,0.00
16.99,1.43,14.45,0.26,3.81,0.00,160.00
18.04,0.57,11.04,0.24,2.61,0.20,160.00
19.09,0.73,10.64,0.62,6.62,0.00,160.00
19.98,0.85,11.44,0.84,9.63,0.00,160.00
20.99,1.04,27.09,0.75,20.27,0.60,0.00
21.95,1.69,31.30,0.53,16.45,1.00,0.00
22.99,1.07,35.32,0.30,10.64,0.40,0.00
24.13,0.95,30.50,0.26,8.03,0.80,0.00
25.11,0.68,21.07,0.28,5.82,0.80,160.00
26.00,0.24,11.84,0.19,2.21,0.40,160.00
26.98,0.33,6.82,0.21,1.40,0.00,160.00
27.95,0.82,6.62,0.36,2.41,0.20,160.00
28.99,1.19,3.41,1.00,3.41,0.40,0.00
29.96,2.04,7.83,0.56,4.41,0.00,0.00
31.08,1.98,14.25,0.37,5.22,0.40,0.00
32.07,1.76,15.65,0.31,4.82,0.20,0.00
33.01,1.47,25.89,0.31,8.03,0.60,160.00
34.00,0.44,23.48,0.13,3.01,0.20,160.00
35.01,0.27,13.04,0.12,1.61,1.81,160.00
36.01,0.47,7.63,0.26,2.01,0.60,160.00
37.00,0.88,6.42,0.88,5.62,0.60,0.00
38.09,2.21,13.85,0.64,8.83,0.20,0.00
39.10,2.30,15.45,0.49,7.63,0.40,0.00
39.98,1.82,29.10,0.37,10.84,0.00,0.00
41.00,1.07,25.08,0.20,5.02,2.01,160.00
42.00,0.33,18.86,0.27,5.02,0.00,160.00
42.98,0.54,9.63,0.15,1.40,0.00,160.00
44.00,0.58,8.03,0.28,2.21,0.00,160.00
45.11,1.03,7.83,0.54,4.21,0.60,0.00
45.90,2.30,15.45,0.74,11.44,0.40,0.00
46.98,2.15,29.30,0.39,11.44,0.60,0.00
48.00,1.59,41.94,0.27,11.24,0.00,0.00
49.00,1.04,24.28,0.26,6.22,0.00,160.00
50.01,0.41,25.89,0.25,6.42,0.20,160.00
51.02,0.39,16.66,0.33,5.42,0.40,160.00
52.33,0.79,14.25,0.31,4.41,0.00,160.00
53.07,1.04,12.24,0.74,9.03,0.40,0.00
54.00,2.04,27.09,0.46,12.44,0.20,0.00
55.01,1.91,26.09,0.38,9.83,0.40,0.00
56.03,1.14,33.31,0.25,8.43,0.00,0.00
57.06,0.89,29.10,0.23,6.82,0.00,160.00
57.97,0.36,21.67,0.17,3.61,0.00,160.00
59.04,0.44,18.86,0.16,3.01,0.60,160.00
59.99,0.71,19.47,0.52,10.03,0.40,160.00
60.97,1.05,17.26,0.70,12.04,0.60,0.00
61.99,2.23,21.87,0.74,16.25,0.40,0.00
62.99,1.97,38.33,0.48,18.46,0.40,0.00
64.04,1.25,37.93,0.30,11.44,0.40,0.00
65.05,0.85,38.13,0.26,9.83,NaN,160.00
66.12,0.27,30.90,0.17,5.22,0.40,160.00
67.06,0.43,21.67,0.19,4.01,0.60,160.00
67.96,0.73,17.66,0.31,5.42,0.20,160.00
68.95,1.17,15.65,0.62,9.63,0.20,0.00
70.02,2.39,23.28,0.67,15.65,0.20,0.00
71.05,2.10,33.91,0.46,15.65,0.40,0.00
72.02,1.28,44.75,0.28,12.64,0.00,0.00
73.07,0.99,42.94,0.25,10.64,0.00,160.00
74.03,0.31,30.30,0.16,4.82,0.00,160.00
75.00,0.36,20.67,0.09,1.81,0.20,160.00
76.00,0.57,13.04,0.49,6.42,0.20,160.00
77.00,0.94,9.23,0.41,3.81,0.40,0.00
78.00,2.23,12.64,0.49,6.22,0.00,0.00
79.01,2.25,21.07,0.39,8.23,0.00,0.00
80.12,1.79,36.32,0.31,11.44,0.00,0.00
81.14,1.12,33.11,0.25,8.23,0.00,160.00
82.00,0.45,29.30,0.15,4.41,0.00,160.00
83.01,0.45,20.47,0.20,4.01,0.80,160.00
84.00,0.61,14.65,0.41,6.02,0.80,160.00
85.07,1.10,12.44,0.53,6.62,0.20,0.00
86.08,2.45,21.67,0.55,11.84,0.00,0.00
87.19,1.24,43.95,0.29,12.64,0.00,0.00
88.21,1.28,48.36,0.29,14.05,0.40,0.00
89.16,0.78,44.75,0.22,9.63,0.20,160.00
90.01,0.38,21.47,0.27,5.82,0.20,160.00
91.14,0.39,22.07,0.14,3.01,1.61,160.00
91.99,0.58,12.04,0.32,3.81,0.00,160.00
92.99,0.95,14.45,0.64,9.23,0.40,0.00
94.07,2.11,17.66,0.57,10.03,0.40,0.00
95.09,1.86,35.12,0.35,12.24,0.40,0.00
95.98,1.61,38.33,0.35,13.24,0.60,0.00
96.97,0.87,49.77,0.23,11.44,0.40,160.00
98.02,0.28,35.92,0.16,5.62,0.00,160.00
99.03,0.34,14.05,0.23,3.21,0.00,160.00
99.95,0.49,17.86,0.17,3.01,0.40,160.00
101.14,0.91,12.04,0.38,4.62,1.00,0.00
102.10,2.14,28.09,0.41,11.64,1.40,0.00
103.11,2.24,21.27,0.38,8.03,0.00,0.00
103.95,1.85,41.54,0.38,15.85,0.40,0.00
105.09,1.03,44.35,0.23,10.23,0.40,160.00
106.11,0.35,37.53,0.13,4.82,0.60,160.00
107.02,0.40,25.28,0.12,3.01,0.40,160.00
