time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
108.10,0.51,16.86,0.31,5.22,0.00,160.00
109.16,0.91,15.25,0.29,4.41,0.00,0.00
109.99,0.49,14.05,0.66,9.23,0.40,0.00
110.97,0.89,20.27,0.45,9.03,0.00,0.00
112.00,1.45,47.96,0.48,23.08,0.00,0.00
113.05,0.83,43.75,0.23,10.23,0.00,160.00
114.01,0.30,47.36,0.12,5.82,0.40,160.00
115.10,0.32,14.05,0.11,1.61,0.60,160.00
116.25,0.54,16.45,0.28,4.62,0.40,160.00
116.96,0.71,18.46,0.39,7.22,0.20,0.00
117.95,1.58,16.86,0.51,8.63,0.20,0.00
118.95,1.67,27.09,0.50,13.44,0.20,0.00
120.03,0.76,51.37,0.25,13.04,0.40,0.00
120.99,0.60,39.93,0.28,11.04,0.80,160.00
122.25,0.69,23.28,0.34,7.83,0.00,160.00
123.34,0.77,34.31,0.38,13.04,0.40,160.00
123.98,0.88,42.34,0.32,13.65,4.62,160.00
124.99,0.85,40.54,0.40,16.25,0.00,0.00
126.00,0.78,55.79,0.38,21.27,0.40,0.00
126.96,1.27,75.05,0.18,13.44,0.20,0.00
128.07,0.88,81.27,0.34,27.29,0.00,0.00
129.29,0.61,74.85,0.26,19.26,0.00,160.00
130.04,0.22,90.30,0.20,17.86,0.00,160.00
130.96,0.25,44.15,0.14,6.02,0.60,160.00
131.94,0.52,21.27,0.26,5.62,0.20,160.00
133.02,0.60,19.67,0.37,7.22,0.20,0.00
134.01,1.28,21.47,0.55,11.84,0.00,0.00
134.97,1.34,33.91,0.44,15.05,0.00,0.00
136.16,0.67,57.39,0.30,17.46,0.20,0.00
137.07,0.99,52.78,0.26,13.85,0.00,160.00
137.99,0.27,42.54,0.24,10.03,0.60,160.00
139.01,0.32,29.90,0.18,5.42,0.00,160.00
140.07,0.50,19.87,0.51,10.03,0.00,160.00
