time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml)
0.00,7.04,5.02,0.00,0.00,3.01
0.97,6.43,1.20,0.33,0.40,0.20
2.08,6.14,2.21,0.27,0.60,0.20
2.97,6.03,7.83,1.03,8.03,0.80
4.00,5.07,17.46,0.84,14.65,2.01
4.96,1.54,36.92,0.73,26.89,8.43
5.96,0.38,81.67,0.33,26.89,8.43
7.03,0.12,43.75,0.02,1.00,11.84
8.11,0.11,17.26,0.10,1.81,2.21
9.22,0.24,13.85,0.30,4.21,2.21
10.09,0.38,10.43,0.48,5.02,0.40
10.90,0.49,17.06,1.00,17.06,1.61
11.95,0.48,47.16,0.69,32.31,6.02
12.92,0.23,75.05,0.21,15.65,1.61
13.94,0.15,55.59,0.09,5.02,6.02
14.93,0.22,12.44,0.16,2.01,5.82
16.06,0.28,27.09,0.64,17.26,14.65
17.14,0.26,16.66,0.53,8.83,3.21
18.08,0.56,23.08,0.06,1.40,8.03
18.89,0.83,32.51,0.81,26.49,3.61
20.04,0.28,84.28,0.14,11.64,4.21
20.96,0.24,71.44,0.03,2.01,4.21
21.98,0.24,47.36,0.15,7.22,7.63
23.09,0.22,34.31,0.18,6.02,5.62
24.02,0.26,17.66,0.41,7.22,3.01
24.99,0.36,11.64,0.29,3.41,1.61
26.03,0.67,11.84,0.80,9.43,4.01
26.98,0.54,32.91,0.46,15.25,1.61
27.93,0.35,42.14,0.65,27.49,2.41
28.96,0.17,57.99,0.09,5.22,1.61
30.25,0.17,33.91,0.02,0.80,4.21
31.10,0.31,13.65,0.07,1.00,1.61
31.92,0.61,11.24,0.55,6.22,1.00
32.93,0.68,18.46,0.18,3.41,0.40
34.03,0.42,34.31,0.46,15.65,2.81
34.95,0.41,52.37,0.16,8.43,1.81
35.92,0.20,40.74,0.13,5.22,2.61
37.14,0.26,27.29,0.06,1.61,2.81
37.85,0.36,8.23,0.80,6.62,2.21
38.97,0.66,15.65,0.35,5.42,3.21
39.93,1.27,22.48,0.65,14.65,2.81
40.94,0.85,46.15,0.67,30.70,1.00
41.92,0.52,88.50,0.46,40.94,2.81
42.98,0.11,67.63,0.06,4.21,4.62
44.02,0.26,29.90,0.05,1.40,17.66
45.02,0.35,7.42,0.11,0.80,4.21
45.98,1.33,3.61,0.28,1.00,2.41
47.01,2.20,9.63,0.81,7.83,0.60
47.94,1.92,27.89,0.60,16.66,0.80
48.92,1.11,57.79,0.57,32.71,3.01
49.98,0.33,90.30,0.17,15.25,2.81
50.99,0.14,49.77,0.15,7.42,4.01
51.87,0.18,30.10,0.05,1.61,4.01
52.93,0.98,11.44,0.82,9.43,5.02
53.97,1.93,22.68,0.50,11.24,4.41
54.92,2.26,32.91,0.15,4.82,4.62
55.94,2.78,39.33,1.12,43.95,3.21
56.96,3.02,58.19,0.25,14.65,7.22
58.13,1.62,45.75,0.04,1.61,5.02
58.84,1.51,22.27,0.11,2.41,7.83
59.95,2.10,7.42,0.05,0.40,5.02
61.03,8.20,8.43,0.76,6.42,2.81
61.97,8.26,13.65,0.41,5.62,0.80
62.97,7.50,25.28,0.43,10.84,0.40
63.97,3.32,66.62,0.33,22.07,3.61
64.95,1.74,84.88,0.16,13.65,2.81
66.00,1.70,53.58,0.07,4.01,2.01
66.90,1.88,24.48,0.14,3.41,2.61
67.94,5.95,14.65,0.33,4.82,5.42
68.97,4.24,36.92,0.37,13.65,0.60
69.98,3.70,68.63,0.49,33.71,2.01
70.95,2.02,86.09,0.14,11.64,4.41
72.18,3.26,36.32,0.03,1.20,9.43
73.18,2.94,16.86,0.20,3.41,3.61
73.93,3.07,6.62,0.39,2.61,1.61
74.94,3.43,12.24,0.21,2.61,2.01
75.97,2.39,22.68,0.45,10.23,2.21
77.06,4.03,35.72,0.82,29.30,2.41
78.01,2.21,88.50,0.35,31.30,4.01
78.96,3.82,82.68,0.05,4.01,3.41
